ticket_text,issue_type,department
i need assistance to set the new delivery address up,set_up_shipping_address,SHIPPING
there are problems entering a secondary shipping address,set_up_shipping_address,SHIPPING
"I submitted a wrong shipping address, I awnt to change it",change_shipping_address,SHIPPING
help me to retrieve the access key of my user,recover_password,ACCOUNT
I have to conract customer assistance,contact_customer_service,CONTACT
do uship to {{Delivery City}},delivery_options,DELIVERY
help me to use the gold profile,switch_account,ACCOUNT
I'm trying to see the cancellation fee,check_cancellation_fee,CANCEL
do you have an e-mail to send a review about your products?,review,FEEDBACK
what do i need to do to restore my account pin,recover_password,ACCOUNT
is there an e-mail to send my feedbakc for ur products,review,FEEDBACK
can you help me to see when my item is going to arrive?,delivery_period,DELIVERY
show me what shipment methods I have,delivery_options,DELIVERY
is it possible to unsubscribe from the company newsletter,newsletter_subscription,SUBSCRIPTION
I need help to see your refund policy,check_refund_policy,REFUND
I want assistace to request a compensation of my money,get_refund,REFUND
want assistance canceling purchase {{Order Number}},cancel_order,ORDER
I am trying to edit the delivery adress,change_shipping_address,SHIPPING
how can I check your reimbursement policy?,check_refund_policy,REFUND
do you have an address to leave feedback for your services?,review,FEEDBACK
can i send my feedback about ur services,review,FEEDBACK
need assistance leaving a commnet for your services,review,FEEDBACK
get bill fromMr. Jones,get_invoice,INVOICE
what are your available payment options?,check_payment_methods,PAYMENT
i dont know what to do to notify of an issdue with a sign-up,registration_problems,ACCOUNT
how do I inform of an issue with a signup?,registration_problems,ACCOUNT
I need assistance to get a rebate of  my money,get_refund,REFUND
speaking with assistant,contact_human_agent,CONTACT
assistance shopping some of your article,place_order,ORDER
want help to track the reimbursement,track_refund,REFUND
I want to check when my item is going to arrive,delivery_period,DELIVERY
i missed a fucking product in purchase {{Order Number}},change_order,ORDER
need to see the allowed payment options can uhelp me,check_payment_methods,PAYMENT
i need supports trying to modify my delivery address,change_shipping_address,SHIPPING
I don't know how to speak with an assistan,contact_human_agent,CONTACT
can you help me create a different bloody platinum account?,create_account,ACCOUNT
"I need to set my shipping address up, how do I do it?",set_up_shipping_address,SHIPPING
i need help to see what hours customer support azvailable is,contact_customer_service,CONTACT
can I get my bill from {{Person Name}}?,get_invoice,INVOICE
I want assistance to list your payment modalities,check_payment_methods,PAYMENT
I have got to check what hours customer service available is,contact_customer_service,CONTACT
reporting issues with payment,payment_issue,PAYMENT
I need to see how long it takes for my parcel to arrive,delivery_period,DELIVERY
assistance to know if there are any news on my refund,track_refund,REFUND
I want assistance to locate my bill #00108,check_invoice,INVOICE
can you help me unsubscribe to the newsletter?,newsletter_subscription,SUBSCRIPTION
I have to notify of a payment error,payment_issue,PAYMENT
how can I purchase several fucking items ?,place_order,ORDER
updating data on {{Account Category}} account,edit_account,ACCOUNT
I want help speaking with an operator,contact_human_agent,CONTACT
i wnt help swapping several items of order {{Order Number}},change_order,ORDER
I need assistance to check the current status of the rebate,track_refund,REFUND
where do i inform of payment problems,payment_issue,PAYMENT
update details on gold account,edit_account,ACCOUNT
where to earn several of your product?,place_order,ORDER
need assistance with opening my {{Account Type}} account,create_account,ACCOUNT
I have troubles editing my address,change_shipping_address,SHIPPING
can ya tell me about an address correction,change_shipping_address,SHIPPING
"I have to speak to customer service , can I get some help?",contact_customer_service,CONTACT
help to check the ETA of order {{Order Number}},track_order,ORDER
I can't create a {{Account Category}} account,create_account,ACCOUNT
"I need to file a reclamation, how can I do it?",complaint,FEEDBACK
there are errors setting up a damn delivery address,set_up_shipping_address,SHIPPING
help me to check when will my article arrive,delivery_period,DELIVERY
help me finding invoice #85632,check_invoice,INVOICE
i want help to speak with customer assistance,contact_customer_service,CONTACT
would it be possible to cancel a {{Account Category}} account?,delete_account,ACCOUNT
"I have to see the early termination charge, can you help me?",check_cancellation_fee,CANCEL
contact agent,contact_human_agent,CONTACT
I need help retrieving my goddamn account password,recover_password,ACCOUNT
editing {{Account Type}} account,edit_account,ACCOUNT
how to cancel order {{Order Number}}?,cancel_order,ORDER
I'm trying to se the withdrawal fees,check_cancellation_fee,CANCEL
is it possible to unsubscribe to the company newsletter?,newsletter_subscription,SUBSCRIPTION
I want assistance to cancel purchase {{Order Number}},cancel_order,ORDER
change information on {{Account Category}} account,edit_account,ACCOUNT
i do ont know how to send fucking feedback for a service,review,FEEDBACK
I need to swap an item of purchase {{Order Number}},change_order,ORDER
issue submitting the secondary delivery address,set_up_shipping_address,SHIPPING
get money back,get_refund,REFUND
I need assistance editing the address,change_shipping_address,SHIPPING
where do I report an issue with payments ?,payment_issue,PAYMENT
i have a probelm with the password retrieval,recover_password,ACCOUNT
is it possible to cancel order {{Order Number}} ?,cancel_order,ORDER
I don't know what I need to do to see the termination fees,check_cancellation_fee,CANCEL
want help updating my address,change_shipping_address,SHIPPING
want assistance notifying of an error with payments,payment_issue,PAYMENT
I have got to set my secondary shipping address up,set_up_shipping_address,SHIPPING
I am trying to unsubscribe from your company newsletter,newsletter_subscription,SUBSCRIPTION
can I check in what cases can I request the damn refunds?,check_refund_policy,REFUND
I can't find the early termination fee,check_cancellation_fee,CANCEL
I have got to contact customre support,contact_customer_service,CONTACT
i have a question about opening pro accounts,create_account,ACCOUNT
cance order {{Order Number}},cancel_order,ORDER
help talking  with a live agent,contact_human_agent,CONTACT
i have to shop several articles,place_order,ORDER
i try to see ur reimbursement policy,check_refund_policy,REFUND
I am trying to cancel purchaes {{Order Number}},cancel_order,ORDER
can you help me talking with customer assistance?,contact_customer_service,CONTACT
I am trying to see your accepted payment methods,check_payment_methods,PAYMENT
"I want to earn some goddamn items, I need assistance",place_order,ORDER
I want assistance to see my invoices from {{Person Name}},check_invoice,INVOICE
I want assistance notifying of a sign-up error,registration_problems,ACCOUNT
I'd like to change to the standard acconut,switch_account,ACCOUNT
shipmetns to {{Delivery City}},delivery_options,DELIVERY
how to speak with somebody ?,contact_human_agent,CONTACT
how could I check purchase {{Order Number}} status?,track_order,ORDER
I don't know how to submit a delivery address,set_up_shipping_address,SHIPPING
how to reset my user profile key?,recover_password,ACCOUNT
can ya direct to me an assistant,contact_human_agent,CONTACT
there are errors submitting the new shipping address,set_up_shipping_address,SHIPPING
updating address,change_shipping_address,SHIPPING
can ya  help me to speak with customer assistance,contact_customer_service,CONTACT
can ya help me cancel order {{Order Number}},cancel_order,ORDER
i cant makr a transfer help me report a payment error,payment_issue,PAYMENT
I need help canceling order {{Order Number}},cancel_order,ORDER
i want help to shop some producgs,place_order,ORDER
checking bill from {{Person Name}},check_invoice,INVOICE
I do not know how to submit some feedback,review,FEEDBACK
i do not know what i have to do to chat with somebody,contact_human_agent,CONTACT
i do not kow how i can create a {{Account Type}} account,create_account,ACCOUNT
i have problems with creating  my freemium account,create_account,ACCOUNT
can uhelp me to locate order {{Order Number}},track_order,ORDER
where could I see your payment modalities?,check_payment_methods,PAYMENT
assistance updating the info included on my user account,edit_account,ACCOUNT
I need help talking with customer service,contact_customer_service,CONTACT
where to check how long it takes for my delivery to arrive,delivery_period,DELIVERY
"I have to check the early exit fees, help me",check_cancellation_fee,CANCEL
i cannot see the eta of order {{Order Number}},track_order,ORDER
I try to notify of errors with online payment,payment_issue,PAYMENT
i want assistance downloading the bills from {{Person Name}},get_invoice,INVOICE
lodging reclamation against your company,complaint,FEEDBACK
I need help checking the early exit charge,check_cancellation_fee,CANCEL
how do i change an item of order {{Order Number}},change_order,ORDER
what do i need to do to report prbolems with payment,payment_issue,PAYMENT
i need help to submit my feedback for a service,review,FEEDBACK
"I cannot make a payment, I need help notifying of errors",payment_issue,PAYMENT
I want assistance to talk to a human agent,contact_human_agent,CONTACT
need assistance to get the invoices from {{Person Name}},get_invoice,INVOICE
I have a question about a password recovery,recover_password,ACCOUNT
assistance to check in what cases can I ask to be refunded,check_refund_policy,REFUND
"I have to see order {{Order Number}} status, I need assistance",track_order,ORDER
I cannot switch to the {{Account Type}} account,switch_account,ACCOUNT
"I want to submit my secondary shipping address, help me",set_up_shipping_address,SHIPPING
"I paid {{Currency Symbol}}{{Refund Amount}} for this item, want help to get a rebate",get_refund,REFUND
i cannot check if there are any news on the compensation,track_refund,REFUND
where do i request a reimbursement of money,get_refund,REFUND
want help lodging a customer claim against your organization,complaint,FEEDBACK
show me in which situations can I ask for reimbursements,check_refund_policy,REFUND
I don't know what to do to inform of an error with a sign-up,registration_problems,ACCOUNT
"I havve to sign up to the newsletter, I need assistance",newsletter_subscription,SUBSCRIPTION
want assistance to download my invoice #12588,get_invoice,INVOICE
"I am having an error signing up, can I get some help?",registration_problems,ACCOUNT
I need help to report a problem with a registration,registration_problems,ACCOUNT
help me to check your reimbursement policy,check_refund_policy,REFUND
i try to check how long itg takes for the shipment to arrive,delivery_period,DELIVERY
there are errors setting up the new shipping address,set_up_shipping_address,SHIPPING
want help making a claim against ur organization,complaint,FEEDBACK
need assistance to see how soon can I expect my article,delivery_period,DELIVERY
"I have got to shop a damn item, how to do it?",place_order,ORDER
I have to inform of issues with a registration,registration_problems,ACCOUNT
correcting infornation on {{Account Type}} account,edit_account,ACCOUNT
do ya deoiver to {{Delivery City}},delivery_options,DELIVERY
"I have got to see what shipping methods are there, help me",delivery_options,DELIVERY
I'm trying to get my damn bills from {{Person Name}},get_invoice,INVOICE
will ya shwo me the eta of order {{Order Number}},track_order,ORDER
I want to retrieve my key,recover_password,ACCOUNT
how can i get information about the options for delivery,delivery_options,DELIVERY
modify {{Account Category}} account,edit_account,ACCOUNT
where can I find information about my pro account removal?,delete_account,ACCOUNT
help checking your accepted payment options,check_payment_methods,PAYMENT
i do not know how to buy several of ur item,place_order,ORDER
what do I have to do to lodge a complaint?,complaint,FEEDBACK
can I order from {{Delivery City}}?,delivery_options,DELIVERY
i try to rettieve my profile access key,recover_password,ACCOUNT
i need assistance tracking purchase {{Order Number}},track_order,ORDER
assistance to chat with a person,contact_human_agent,CONTACT
"I am looking for shipping period, will you help me?",delivery_period,DELIVERY
how to see if there is anything wrong with the restitution?,track_refund,REFUND
i need assistance giving a quick look at the invoice #12588,check_invoice,INVOICE
what are the fees for canceling the contract?,check_cancellation_fee,CANCEL
is it possible to talk with customer assistance?,contact_customer_service,CONTACT
how to use the standard profile,switch_account,ACCOUNT
I do not know what I need to do to buy some items,place_order,ORDER
help me checking the status of my newsletter subscription,newsletter_subscription,SUBSCRIPTION
I do not know how to cancel purchase {{Order Number}},cancel_order,ORDER
I need helpto cancel order {{Order Number}},cancel_order,ORDER
I try to chat with an operator,contact_human_agent,CONTACT
help to check what hours I can call customer support,contact_customer_service,CONTACT
"I have lost bill #37777, could you send it to me?",get_invoice,INVOICE
is it possible to get my bill #00108?,get_invoice,INVOICE
help me delete my {{Account Category}} accoun,delete_account,ACCOUNT
where to check the restitution status?,track_refund,REFUND
I have an issue editing the shipping address,change_shipping_address,SHIPPING
"I have lost bill #12588, can you mail it to me?",get_invoice,INVOICE
i have to inform of a payment issue,payment_issue,PAYMENT
correct data on {{Account Category}} account,edit_account,ACCOUNT
how to unsubscribe from ur corporate newsletter,newsletter_subscription,SUBSCRIPTION
want help to make a consumer complaint against ur company,complaint,FEEDBACK
how could I purchase several products?,place_order,ORDER
I'm trying to submit a shipping address,set_up_shipping_address,SHIPPING
I'm waiting for an goddamn restitution of {{Refund Amount}} dollars,track_refund,REFUND
I have an issue editing the address,change_shipping_address,SHIPPING
"I want to see your reimbursement policy, I need assistance",check_refund_policy,REFUND
I need help receiving refunds,get_refund,REFUND
I do not know what todo to chat with a live agent,contact_human_agent,CONTACT
I am trying to check the accepted payment modalities,check_payment_methods,PAYMENT
I have got to check if there are any news on the restitution,track_refund,REFUND
need assistance cancelinv purchase {{Order Number}},cancel_order,ORDER
need assistance changing the details on my profile,edit_account,ACCOUNT
where do i subscribe to ur corporate newsletter,newsletter_subscription,SUBSCRIPTION
I'm trying to set another delivery address up,set_up_shipping_address,SHIPPING
can uhelp me leave a damn review for a service,review,FEEDBACK
"I paid {{Currency Symbol}}{{Refund Amount}} for an item, help me receive my money back",get_refund,REFUND
i have got to modify my shipping address how to do it,change_shipping_address,SHIPPING
I have to update my shipping address,change_shipping_address,SHIPPING
there is an issue entering my delivery address,set_up_shipping_address,SHIPPING
need to inform o a signup error,registration_problems,ACCOUNT
could you tell me more about creating a platinum account?,create_account,ACCOUNT
need help to download my invoice #37777,get_invoice,INVOICE
help to check your damn money back guarantee,check_refund_policy,REFUND
information about opening {{Account Category}} accounts,create_account,ACCOUNT
can you help me speaking to an assistant?,contact_human_agent,CONTACT
where to change to the goddamn {{Account Type}} account?,switch_account,ACCOUNT
I want assistance checking the cancellation penalties,check_cancellation_fee,CANCEL
where can i inform of problems with online paymeny,payment_issue,PAYMENT
I want to get bill #37777,get_invoice,INVOICE
help me to change several products of purchase {{Order Number}},change_order,ORDER
"I can't open an account, where do I report a signup issue?",registration_problems,ACCOUNT
there is an issue trying to change my shipping address,change_shipping_address,SHIPPING
I call to check the shipment options,delivery_options,DELIVERY
can i place an order from {{Delivery City}},delivery_options,DELIVERY
what do I need to do to buy an item?,place_order,ORDER
can uhelp me see the currnt status of order {{Order Number}},track_order,ORDER
how to open a {{Account Type}} account for my fiance,create_account,ACCOUNT
I want help to enter a damn secondary delivery address,set_up_shipping_address,SHIPPING
"I have to sign up to your newsletter, I need assistance",newsletter_subscription,SUBSCRIPTION
I have got to subscribe to the fucking newsletter,newsletter_subscription,SUBSCRIPTION
changing info on freemium account,edit_account,ACCOUNT
i want help modifying the address,change_shipping_address,SHIPPING
is it possible to change to the {{Account Type}} account?,switch_account,ACCOUNT
I am trying to check the cancellation charges,check_cancellation_fee,CANCEL
help me use the freemium profile,switch_account,ACCOUNT
assistance looking for my invoices from {{Person Name}},check_invoice,INVOICE
I need to report a problem with online payment,payment_issue,PAYMENT
i do not know how to cancel order {{Order Number}},cancel_order,ORDER
assistance seeing what shipment methods you offer,delivery_options,DELIVERY
I do not knowwhat I need to do to get invoice #85632,get_invoice,INVOICE
"I have not signed up, can I open a platinum account?",create_account,ACCOUNT
what do I need to do to recover the pwd of my profile?,recover_password,ACCOUNT
I do not know how I can leave my feedback for your services,review,FEEDBACK
"I would like to do a purchase, can you help me?",place_order,ORDER
check current status of purchase {{Order Number}},track_order,ORDER
editing {{Account Category}} account,edit_account,ACCOUNT
see order {{Order Number}} current status,track_order,ORDER
I expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
I don't know what I need to do to speak to customer service,contact_customer_service,CONTACT
how do I cancel my subscription to the newsletter ?,newsletter_subscription,SUBSCRIPTION
can uhelp me changing to the standard account,switch_account,ACCOUNT
I don't know what I need to do to contact a live agent,contact_human_agent,CONTACT
can ya help me to modify the delivery address,change_shipping_address,SHIPPING
I have got to inform of an issue with online payments,payment_issue,PAYMENT
change info on {{Account Type}} account,edit_account,ACCOUNT
I have got to set a secondary delivery address up,set_up_shipping_address,SHIPPING
where to make a consumer claim?,complaint,FEEDBACK
"someone stole my PIN, I want assistance to restore it",recover_password,ACCOUNT
how can i notify of errors with a sign-up,registration_problems,ACCOUNT
I want help to recover the PIN of my user profile,recover_password,ACCOUNT
I need to check how long rimbursements take,check_refund_policy,REFUND
i have to notify of problems with registrations,registration_problems,ACCOUNT
modify info on {{Account Type}} account,edit_account,ACCOUNT
check in which cases can I ask for a refund,check_refund_policy,REFUND
what do I need to do to change the address?,change_shipping_address,SHIPPING
could you help me to open a premium account?,create_account,ACCOUNT
help me check ur available payment options,check_payment_methods,PAYMENT
check invoice #85632,check_invoice,INVOICE
i  have lost my account access key where can i recover it,recover_password,ACCOUNT
help me cancelling purchase {{Order Number}},cancel_order,ORDER
I want assistance canceling purchyase {{Order Number}},cancel_order,ORDER
is it possible to see the available pyment options,check_payment_methods,PAYMENT
there is a trouble setting up a delivery address,set_up_shipping_address,SHIPPING
I need assistance getting in touch with customer support,contact_customer_service,CONTACT
help me check what hours i can call customer assistancr,contact_customer_service,CONTACT
list the allowed payment modalities,check_payment_methods,PAYMENT
I want help cancellkng purchase {{Order Number}},cancel_order,ORDER
I'd like to  check what hours customer support available is,contact_customer_service,CONTACT
i wan assistance checking how soon can i expect the purchase,delivery_period,DELIVERY
give a quick look at the invoice #12588,check_invoice,INVOICE
help to see when my purchase is going to arrive,delivery_period,DELIVERY
changkng to platinum account,switch_account,ACCOUNT
getting invoice from three purchases ago,get_invoice,INVOICE
I cannot submit another shipping address,set_up_shipping_address,SHIPPING
"I don't want the freemium account, I need help to close it",delete_account,ACCOUNT
how can i see how long it takes for the parcel to arrive,delivery_period,DELIVERY
can you help me getting invoice #37777?,get_invoice,INVOICE
there is a problem with my registration,registration_problems,ACCOUNT
want assistance notifying of problems with online payment,payment_issue,PAYMENT
help me obtain a compensation of money,get_refund,REFUND
i want help to see ur allowed payment modalities,check_payment_methods,PAYMENT
I need help retrieving my account access key,recover_password,ACCOUNT
I need to see if there are any updates on my rebate,track_refund,REFUND
upddate order {{Order Number}},change_order,ORDER
I don't knowhow to cancel purchase {{Order Number}},cancel_order,ORDER
i need help to add something to order {{Order Number}},change_order,ORDER
could I open a standard account?,create_account,ACCOUNT
correct data on premium account,edit_account,ACCOUNT
find information about my newsletter subscription,newsletter_subscription,SUBSCRIPTION
I don't know how to see what delivery options I have,delivery_options,DELIVERY
help me check the ETA of order {{Order Number}},track_order,ORDER
question about cancelling order {{Order Number}},cancel_order,ORDER
i do not know how i can see the current status of the rebate,track_refund,REFUND
I don't know what to do to sign up to your newsletter,newsletter_subscription,SUBSCRIPTION
assistance to talk to customer support,contact_customer_service,CONTACT
i do not know how i could switch tto the standard account,switch_account,ACCOUNT
can you help me restore my fucking profile password?,recover_password,ACCOUNT
i want assistance seeing the early exit charges,check_cancellation_fee,CANCEL
help with creating my {{Account Type}} account,create_account,ACCOUNT
see the withdrawal penalties,check_cancellation_fee,CANCEL
need assistance to see your accepted payment options,check_payment_methods,PAYMENT
how to submit my feedback about your company?,review,FEEDBACK
wanna talk to a human agent,contact_human_agent,CONTACT
wanna leave a review about a product how to do it,review,FEEDBACK
need help getting the invoices from {{Person Name}},get_invoice,INVOICE
I'm calling to leave a comment about a service,review,FEEDBACK
closing {{Account Category}} account,delete_account,ACCOUNT
can i order frlm {{Delivery City}},delivery_options,DELIVERY
"I expect a goddamn compensation of {{Currency Symbol}}{{Refund Amount}}, was it processed",track_refund,REFUND
I want information about updating order {{Order Number}},change_order,ORDER
i dont know what to do to locate my bill from {{Person Name}},check_invoice,INVOICE
acquire several of your item,place_order,ORDER
I have got to check your refund policy,check_refund_policy,REFUND
want help to shop a few of ur article,place_order,ORDER
what do I need to do to check your accepted payment methods?,check_payment_methods,PAYMENT
"I have to locate bill #12588, can you help me?",check_invoice,INVOICE
is it possible to check in what cases can I request refunds?,check_refund_policy,REFUND
how do I remove something from order {{Order Number}}?,change_order,ORDER
i try to check how soon can i expect my article,delivery_period,DELIVERY
"I can't sign up, I want help to inform of signup issues",registration_problems,ACCOUNT
i do not know how to speak with an opeator,contact_human_agent,CONTACT
help touse the {{Account Category}} profile,switch_account,ACCOUNT
can uhelp me see my reimbursement current status,track_refund,REFUND
need help checking whatt hours customer support available is,contact_customer_service,CONTACT
"I have got to enter a new shipping address, help me",set_up_shipping_address,SHIPPING
see early exit penalties,check_cancellation_fee,CANCEL
how to check the early termination fee ?,check_cancellation_fee,CANCEL
"I ordered some products, how to cancel purchase {{Order Number}}?",cancel_order,ORDER
updating platinum accojnt,edit_account,ACCOUNT
how can I purchase several of your article?,place_order,ORDER
could you mail me my goddamn invoices from {{Person Name}}?,get_invoice,INVOICE
i cant retrieve my account eky,recover_password,ACCOUNT
create new {{Account Type}} account for daughter,create_account,ACCOUNT
see restitution current status,track_refund,REFUND
I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
i need help to add several product to order {{Order Number}},change_order,ORDER
I need to file a customer claim against your organizaion,complaint,FEEDBACK
I do not know how I can chat with an agent,contact_human_agent,CONTACT
I want help deleting something from purchase {{Order Number}},change_order,ORDER
check purchase {{Order Number}} current status,track_order,ORDER
what do i have to do to report errors with payments,payment_issue,PAYMENT
assistance to check the ETA of the purchase {{Order Number}},track_order,ORDER
can i see what hours customer support availabl is,contact_customer_service,CONTACT
i want information about my fucking newsletter subscriptino,newsletter_subscription,SUBSCRIPTION
how to shop a few of ur article,place_order,ORDER
i do not know what to do to rerquest a compensation of money,get_refund,REFUND
want assistance opening a standard account,create_account,ACCOUNT
can you help me to see your accepted payment modalities?,check_payment_methods,PAYMENT
i dont know what i need to do to cancel my standard account,delete_account,ACCOUNT
I do not know how I can buy several items,place_order,ORDER
"I have not signed up yet, help creating a gold account",create_account,ACCOUNT
I am waiting for an refund of {{Currency Symbol}}{{Refund Amount}},track_refund,REFUND
I do not know how to get in touch with customer assistance,contact_customer_service,CONTACT
I try to know if there are any updates on my restitution,track_refund,REFUND
where do I reset my user account key?,recover_password,ACCOUNT
I don't know what to do to get compensations of my money,get_refund,REFUND
how do i ese when will my package arrive,delivery_period,DELIVERY
I do not know how I could write an opinion for a product,review,FEEDBACK
show cancellation charges,check_cancellation_fee,CANCEL
are there early exit fees?,check_cancellation_fee,CANCEL
can I see the accepted payment modalities?,check_payment_methods,PAYMENT
i want help seeing theeta of purchase {{Order Number}},track_order,ORDER
I can't receive the damn corporate newsletter,newsletter_subscription,SUBSCRIPTION
I do not know what I have to do to delete a gold account,delete_account,ACCOUNT
i want help acquiring an article,place_order,ORDER
"I have to list your allowed payment options, how do I do it?",check_payment_methods,PAYMENT
are the charges of ur services reimbursable,check_refund_policy,REFUND
help me obtaining a reimbursement of money,get_refund,REFUND
"I can't pay, where do I report errors with payment?",payment_issue,PAYMENT
i have an issue setting an different shipping address up,set_up_shipping_address,SHIPPING
I am waiting for an restitution of {{Refund Amount}} dollars,track_refund,REFUND
how could I report problems with payment?,payment_issue,PAYMENT
checking purchase {{Order Number}} status,track_order,ORDER
i want assistance to locatr my bill #00108,check_invoice,INVOICE
can you help me see purchase {{Order Number}} current status?,track_order,ORDER
i have got to see how soon can i expect my delivery,delivery_period,DELIVERY
i do not know what i have to do to ask for a rebate of money,get_refund,REFUND
want help to see ur allowedpayment modalities,check_payment_methods,PAYMENT
where can i unsubscribe from ur fucking  newsletter,newsletter_subscription,SUBSCRIPTION
check the withdrawal fees,check_cancellation_fee,CANCEL
need assiwtance seeing the ETA of the order {{Order Number}},track_order,ORDER
"I can no longer afford order {{Order Number}}, cancel it",cancel_order,ORDER
where could I check the current status of my restitution?,track_refund,REFUND
i want help to report an error with signup,registration_problems,ACCOUNT
I would like to list the payment modalities,check_payment_methods,PAYMENT
I need assistance to set up a different delivery address,set_up_shipping_address,SHIPPING
I need help locatin purchase {{Order Number}},track_order,ORDER
howdo i use the gold account,switch_account,ACCOUNT
how to get my bill from {{Person Name}} ?,get_invoice,INVOICE
where can i enter a secondary shipping address,set_up_shipping_address,SHIPPING
i want help leaving an opinion about ur services,review,FEEDBACK
deleting pro account,delete_account,ACCOUNT
editing data on {{Account Type}} account,edit_account,ACCOUNT
I want help setting up another delivery address,set_up_shipping_address,SHIPPING
assistance seeing how soon can i expect the item,delivery_period,DELIVERY
i try ot order a few of ur item,place_order,ORDER
create {{Account Type}} account for wife,create_account,ACCOUNT
i want help to reset my user profile pin code,recover_password,ACCOUNT
wanna see at what time i can reach customer assistance,contact_customer_service,CONTACT
is it possibe to inform of errors with payment?,payment_issue,PAYMENT
I want assistance to check how long refunds usually take,check_refund_policy,REFUND
can you help me to check how soon can I expect my item?,delivery_period,DELIVERY
I need help submitting some feedback about a product,review,FEEDBACK
I need help to cancel purchase {{Order Number}},cancel_order,ORDER
i want help to check order {{Order Number}} status,track_order,ORDER
can you give me information about receiving your newsletter?,newsletter_subscription,SUBSCRIPTION
list your accepted payment options,check_payment_methods,PAYMENT
correcting info on {{Account Type}} account,edit_account,ACCOUNT
editing information on {{Account Type}} account,edit_account,ACCOUNT
I don't know what to do to talk with an operator,contact_human_agent,CONTACT
can I order from {{Delivery Country}}?,delivery_options,DELIVERY
I do not know what to do to get the invoice #37777,get_invoice,INVOICE
could you tell me about shipping periods?,delivery_period,DELIVERY
wanna see what shipment methods i can choose how do i do it,delivery_options,DELIVERY
I do not know how to write a review about your products,review,FEEDBACK
download ibll #37777,get_invoice,INVOICE
I need assistance changing the user information,edit_account,ACCOUNT
I need assistance to leave feedback about your company,review,FEEDBACK
help me see what shipping methods are there,delivery_options,DELIVERY
help me filing a reclamation against your company,complaint,FEEDBACK
I have got to locate my invoice from {{Person Name}},check_invoice,INVOICE
ik do not know how i can notify of a sign-up problem,registration_problems,ACCOUNT
can I change an article of purchase {{Order Number}}?,change_order,ORDER
I want support modifying the shipping address,change_shipping_address,SHIPPING
I do not know what I need to do to download the bill #85632,get_invoice,INVOICE
I need help seeing my invoices from {{Person Name}},check_invoice,INVOICE
I don't know how to check the early exit charge,check_cancellation_fee,CANCEL
assistance to see what payment options are allowed,check_payment_methods,PAYMENT
where can I see if there is anything new on the restitution?,track_refund,REFUND
there is an issue setting up a shipping address,set_up_shipping_address,SHIPPING
I do not know how I could check the ETA of purchase {{Order Number}},track_order,ORDER
can i contact someone,contact_human_agent,CONTACT
assistance downloading my bills from {{Person Name}},get_invoice,INVOICE
can ya help me obtaining restitutions of my money,get_refund,REFUND
where can I sign up to the newsletter?,newsletter_subscription,SUBSCRIPTION
could I see the billfrom {{Person Name}}?,check_invoice,INVOICE
how can I file a customer claim against your organization?,complaint,FEEDBACK
can you help me listing your allowed payment methods?,check_payment_methods,PAYMENT
where to get a restitution of my money,get_refund,REFUND
how do I acquire some articles?,place_order,ORDER
i need information about my standard account deletion,delete_account,ACCOUNT
how to change order {{Order Number}}?,change_order,ORDER
modify data on {{Account Category}} account,edit_account,ACCOUNT
"I want to see how soon can I expect my parcel, how to do it?",delivery_period,DELIVERY
help top speak with customer assistance,contact_customer_service,CONTACT
"I need to speak with customer support, help me",contact_customer_service,CONTACT
"my experience with your brand was bad, make a consumer claim",complaint,FEEDBACK
I don't know what I need to do to contact customer service,contact_customer_service,CONTACT
I have issues updating the address,change_shipping_address,SHIPPING
I do not know how I can list the goddamn payment methods,check_payment_methods,PAYMENT
inform of a problem with sign-up,registration_problems,ACCOUNT
information about my fucking subscription to the newsletter,newsletter_subscription,SUBSCRIPTION
can ya show me at what time customer service available is,contact_customer_service,CONTACT
help to buy an few of your product,place_order,ORDER
could I set up a delivery address?,set_up_shipping_address,SHIPPING
I need assistance to shop a few of your item,place_order,ORDER
there are issues trying to update the goddamn address,change_shipping_address,SHIPPING
can uhelpp me filing a reclamation against ur business,complaint,FEEDBACK
help solving troubles with online payment,payment_issue,PAYMENT
assistance seeing in what cases can i request reimbursements,check_refund_policy,REFUND
I'm trying to submit some feedback about a service,review,FEEDBACK
how to modify order {{Order Number}},change_order,ORDER
help to check in which cases can i erquest my money back,check_refund_policy,REFUND
is there an address to submit an opinion for ur company,review,FEEDBACK
I want to report a problem with payment,payment_issue,PAYMENT
could i order feom {{Delivery City}},delivery_options,DELIVERY
customer reclamation against your organzation,complaint,FEEDBACK
need help notifying of issueswith sign-up,registration_problems,ACCOUNT
help unsubscribing from ur damnnewsletter,newsletter_subscription,SUBSCRIPTION
can i check purchase {{Order Number}} status,track_order,ORDER
information about the removal of a {{Account Type}} account,delete_account,ACCOUNT
assistance cancelling purchase {{Order Number}},cancel_order,ORDER
checking invoice from 4 purchases ago,check_invoice,INVOICE
I need to receive a refund of my money,get_refund,REFUND
I try to see when will my product arrive,delivery_period,DELIVERY
how to check how soon can I expect my parcel?,delivery_period,DELIVERY
I do not know what to do to remove my standard account,delete_account,ACCOUNT
i need help to notify of an issue with payment,payment_issue,PAYMENT
I have to check in which cases can I request refdunds,check_refund_policy,REFUND
i need assistance checking my rebate status,track_refund,REFUND
